date,day,total,temp,holiday,cloud,month,NightOpen,rain,closed,culture,year,holiday&weekend,holiday+weekend
1월 1일,일,11504 ,-4,1,5.1,1,0,0,0,0,2012,1,2
1월 2일,월,7548 ,-5.8,0,2.9,1,0,0,0,0,2012,0,0
1월 3일,화,0 ,-5.7,0,7.5,1,0,0.4,10,0,2012,0,0
1월 4일,수,6445 ,-8.5,0,1.1,1,0,0,0,0,2012,0,0
1월 5일,목,4820 ,-6.3,0,0,1,0,0,0,0,2012,0,0
1월 6일,금,5974 ,-3.8,0,3.1,1,0,0,0,0,2012,0,0
1월 7일,토,8439 ,-4.3,0,0,1,0,0,0,0,2012,1,1
1월 8일,일,7699 ,-3.2,0,6.8,1,0,0,0,0,2012,1,1
1월 9일,월,5116 ,-1.4,0,6.4,1,0,0,0,0,2012,0,0
1월 10일,화,0 ,-3.5,0,1.9,1,0,0,10,0,2012,0,0
1월 11일,수,5957 ,-7.3,0,0,1,0,0,0,0,2012,0,0
1월 12일,목,4903 ,-5.4,0,4.5,1,0,0,0,0,2012,0,0
1월 13일,금,6123 ,-2,0,3.3,1,0,0,0,0,2012,0,0
1월 14일,토,9958 ,-2.3,0,2.5,1,0,0,0,0,2012,1,1
1월 15일,일,9883 ,-3.1,0,4.6,1,0,0,0,0,2012,1,1
1월 16일,월,7354 ,0.4,0,1.4,1,0,0,0,0,2012,0,0
1월 17일,화,0 ,2.4,0,4.3,1,0,0,10,0,2012,0,0
1월 18일,수,7051 ,0.9,0,4.8,1,0,0,0,0,2012,0,0
1월 19일,목,6115 ,3.8,0,9.3,1,0,0.2,0,0,2012,0,0
1월 20일,금,4361 ,4,0,9.8,1,0,0.5,0,0,2012,0,0
1월 21일,토,6780 ,1.3,1,7.8,1,0,0.1,0,0,2012,1,2
1월 22일,일,7547 ,-9,1,1.9,1,0,0,0,0,2012,1,2
1월 23일,월,20512 ,-10.6,1,0,1,0,0,0,0,2012,1,1
1월 24일,화,8889 ,-8.2,1,2,1,0,1.6,0,0,2012,1,1
1월 25일,수,8454 ,-9.2,0,0,1,0,0,0,0,2012,0,0
1월 26일,목,8877 ,-3.8,0,4.3,1,0,0,0,0,2012,0,0
1월 27일,금,7869 ,-1.8,0,3.4,1,0,0,0,0,2012,0,0
1월 28일,토,14564 ,-2.7,0,4.4,1,0,0,0,0,2012,1,1
1월 29일,일,12355 ,-3.4,0,1.1,1,0,0,0,0,2012,1,1
1월 30일,월,8718 ,-6.6,0,0.3,1,0,0,0,0,2012,0,0
1월 31일,화,0 ,-5.7,0,7.5,1,0,3.9,10,0,2012,0,0
2월 1일,수,7623 ,-13.8,0,0,2,0,0,0,0,2012,0,0
2월 2일,목,6030 ,-14.4,0,0,2,0,0,0,0,2012,0,0
2월 3일,금,5522 ,-9.1,0,3.4,2,0,0.1,0,0,2012,0,0
2월 4일,토,8952 ,-3.5,0,3,2,0,0.2,0,0,2012,1,1
2월 5일,일,9150 ,-1.9,0,4.3,2,0,0,0,0,2012,1,1
2월 6일,월,6837 ,0.1,0,8,2,0,0.2,0,0,2012,0,0
2월 7일,화,0 ,-10.1,0,0,2,0,0,10,0,2012,0,0
2월 8일,수,6444 ,-9,0,2.5,2,0,0,0,0,2012,0,0
2월 9일,목,5218 ,-5.3,0,3.8,2,0,0,0,0,2012,0,0
2월 10일,금,5769 ,-4.3,0,3.6,2,0,0,0,0,2012,0,0
2월 11일,토,11985 ,-4.8,0,0.1,2,0,0,0,0,2012,1,1
2월 12일,일,17426 ,-1.1,0,4.9,2,0,0,0,0,2012,1,1
2월 13일,월,8353 ,2.2,0,5.3,2,0,0,0,0,2012,0,0
2월 14일,화,0 ,2.2,0,4,2,0,0,10,0,2012,0,0
2월 15일,수,8303 ,-2.2,0,5.6,2,0,0,0,0,2012,0,0
2월 16일,목,7531 ,-3.7,0,2,2,0,0,0,0,2012,0,0
2월 17일,금,7035 ,-7.5,0,1,2,0,0,0,0,2012,0,0
2월 18일,토,11880 ,-7.8,0,0.5,2,0,0,0,0,2012,1,1
2월 19일,일,14850 ,-5.3,0,0,2,0,0,0,0,2012,1,1
