date,day,total,temp,공휴일,cloud,month,NightOpen,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,화,8502 ,-6.5,1,8.3,1,0,3.1,0,0,2013,1,1
1월 2일,수,6386 ,-13.3,0,0.3,1,0,0,0,0,2013,0,0
1월 3일,목,5269 ,-14.3,0,0,1,0,0,0,0,2013,0,0
1월 4일,금,4717 ,-12,0,0,1,0,0,0,0,2013,0,0
1월 5일,토,7287 ,-7.9,0,2.3,1,0,0,0,0,2013,1,1
1월 6일,일,6549 ,-7.3,0,1.4,1,0,0,0,0,2013,1,1
1월 7일,월,4563 ,-6.2,0,6.6,1,0,0,0,0,2013,0,0
1월 8일,화,0 ,-5.6,0,2.4,1,0,0,10,0,2013,0,0
1월 9일,수,4338 ,-10.2,0,0,1,0,0,0,0,2013,0,0
1월 10일,목,4086 ,-9.4,0,0.5,1,0,0,0,0,2013,0,0
1월 11일,금,4658 ,-5.2,0,6.6,1,0,0,0,0,2013,0,0
1월 12일,토,9832 ,-1.2,0,5.8,1,0,0.1,0,0,2013,1,1
1월 13일,일,10100 ,-1.6,0,5.9,1,0,0,0,0,2013,1,1
1월 14일,월,5493 ,-2.8,0,1,1,0,0,0,0,2013,0,0
1월 15일,화,0 ,-3.2,0,4.5,1,0,0,10,0,2013,0,0
1월 16일,수,5590 ,-3.9,0,6.4,1,0,0.3,0,0,2013,0,0
1월 17일,목,5370 ,-7.2,0,1.3,1,0,0,0,0,2013,0,0
1월 18일,금,5817 ,-5.2,0,2.1,1,0,0,0,0,2013,0,0
1월 19일,토,11998 ,-0.5,0,4.3,1,0,0,0,0,2013,1,1
1월 20일,일,10706 ,0,0,7.5,1,0,0,0,0,2013,1,1
1월 21일,월,4480 ,1,0,10,1,0,16.5,0,0,2013,0,0
1월 22일,화,0 ,2.4,0,9.1,1,0,0.5,10,0,2013,0,0
1월 23일,수,7011 ,0.3,0,9.4,1,0,1.5,0,0,2013,0,0
1월 24일,목,7413 ,-2.4,0,5.8,1,0,0.1,0,0,2013,0,0
1월 25일,금,5454 ,-10.6,0,0,1,0,0,0,0,2013,0,0
1월 26일,토,9560 ,-10.9,0,0,1,0,0,0,0,2013,1,1
1월 27일,일,8565 ,-8.6,0,0.5,1,0,0,0,0,2013,1,1
1월 28일,월,8293 ,-5,0,6,1,0,0,0,0,2013,0,0
1월 29일,화,0 ,0.6,0,9.6,1,0,0,10,0,2013,0,0
1월 30일,수,7529 ,4.2,0,7.9,1,0,0,0,0,2013,0,0
1월 31일,목,8342 ,6,0,6.6,1,0,0,0,0,2013,0,0
2월 1일,금,4042 ,6.3,0,9.5,2,0,46.5,0,0,2013,0,0
2월 2일,토,11065 ,-2.3,0,2.1,2,0,0,0,0,2013,1,1
2월 3일,일,8012 ,-5,0,7.9,2,0,7.5,0,0,2013,1,1
2월 4일,월,8437 ,-2.6,0,5.4,2,0,7.4,0,0,2013,0,0
2월 5일,화,0 ,-2.3,0,8.4,2,0,4.5,10,0,2013,0,0
2월 6일,수,5828 ,-3,0,7.4,2,0,2.1,0,0,2013,0,0
2월 7일,목,4116 ,-12.7,0,1.3,2,0,0,0,0,2013,0,0
2월 8일,금,2622 ,-12.6,0,1.6,2,0,0,0,0,2013,0,0
2월 9일,토,7744 ,-8.7,1,3.6,2,0,0,0,0,2013,1,2
2월 10일,일,21696 ,-5.4,1,3.5,2,0,1.2,0,0,2013,1,2
2월 11일,월,15055 ,-7.1,1,2.6,2,0,0,0,0,2013,1,1
2월 12일,화,0 ,-5.4,0,8,2,0,0,10,0,2013,0,0
2월 13일,수,11121 ,-2.8,0,3.3,2,0,0,0,0,2013,0,0
2월 14일,목,11445 ,-0.4,0,6,2,0,0,0,0,2013,0,0
2월 15일,금,9781 ,-2.9,0,2.1,2,0,0,0,0,2013,0,0
2월 16일,토,14319 ,-4,0,2,2,0,0,0,0,2013,1,1
2월 17일,일,12886 ,0.5,0,9.3,2,0,0,0,0,2013,1,1
2월 18일,월,9360 ,-0.9,0,6.9,2,0,0,0,0,2013,0,0
2월 19일,화,0 ,-4.7,0,2,2,0,0,10,0,2013,0,0
2월 20일,수,8632 ,-6,0,1.8,2,0,0,0,0,2013,0,0
2월 21일,목,9225 ,-3.2,0,2.8,2,0,0,0,0,2013,0,0
