date,day,total,temp,holiday,cloud,month,NightOpen,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,수,17370 ,3.2,1,2.1,1,0,0,0,0,2014,1,1
1월 2일,목,9467 ,1.4,0,0.3,1,0,0,0,0,2014,0,0
1월 3일,금,8253 ,2.4,0,4.6,1,0,0,0,0,2014,0,0
1월 4일,토,11332 ,-0.7,0,0.9,1,0,0,0,0,2014,1,1
1월 5일,일,9783 ,-0.9,0,2.1,1,0,0,0,0,2014,1,1
1월 6일,월,6390 ,0.4,0,3.1,1,0,0,0,0,2014,0,0
1월 7일,화,0 ,2.5,0,8.5,1,0,0,10,0,2014,0,0
1월 8일,수,5887 ,-0.9,0,7.4,1,0,0,0,0,2014,0,0
1월 9일,목,6330 ,-9.1,0,0,1,0,0,0,0,2014,0,0
1월 10일,금,4680 ,-5.4,0,3.1,1,0,0,0,0,2014,0,0
1월 11일,토,9853 ,-2.2,0,4.5,1,0,0,0,0,2014,1,1
1월 12일,일,8895 ,-3.4,0,2.5,1,0,0,0,0,2014,1,1
1월 13일,월,6014 ,-7.2,0,0,1,0,0,0,0,2014,0,0
1월 14일,화,0 ,-4.9,0,0,1,0,0,10,0,2014,0,0
1월 15일,수,6686 ,-3.6,0,0.9,1,0,0,0,0,2014,0,0
1월 16일,목,7689 ,-0.7,0,6.8,1,0,0,0,0,2014,0,0
1월 17일,금,7777 ,-0.6,0,1.8,1,0,0,0,0,2014,0,0
1월 18일,토,14004 ,-3.4,0,0.4,1,0,0,0,0,2014,1,1
1월 19일,일,11298 ,-3.3,0,4.9,1,0,0,0,0,2014,1,1
1월 20일,월,8293 ,-2.9,0,9.6,1,0,5.3,0,0,2014,0,0
1월 21일,화,0 ,-6.6,0,5.3,1,0,0.7,10,0,2014,0,0
1월 22일,수,10084 ,-4.4,0,1,1,0,0,0,0,2014,0,0
1월 23일,목,10258 ,-1.4,0,3.4,1,0,0,0,0,2014,0,0
1월 24일,금,8737 ,1.8,0,8.5,1,0,0,0,0,2014,0,0
1월 25일,토,9380 ,3.1,0,7,1,0,3,0,0,2014,1,1
1월 26일,일,12379 ,-2.8,0,0,1,0,0,0,0,2014,1,1
1월 27일,월,7132 ,-0.7,0,1.6,1,0,0,0,0,2014,0,0
1월 28일,화,0 ,0.3,0,3.6,1,0,0.5,10,0,2014,0,0
1월 29일,수,8906 ,1.2,0,4.3,1,0,0,0,1,2014,0,0
1월 30일,목,6745 ,2.6,1,5.8,1,0,3.5,0,0,2014,1,1
1월 31일,금,32801 ,0.2,1,1,1,0,0,0,0,2014,1,1
2월 1일,토,14492 ,3,1,9.6,2,0,11,0,0,2014,1,2
2월 2일,일,13580 ,3.9,0,8.9,2,0,0.5,0,0,2014,1,1
2월 3일,월,10767 ,-5,0,2.6,2,0,0,0,0,2014,0,0
2월 4일,화,0 ,-9,0,0.1,2,0,0,10,0,2014,0,0
2월 5일,수,12356 ,-6,0,4.5,2,0,0,0,0,2014,0,0
2월 6일,목,11766 ,-2.2,0,5,2,0,0,0,0,2014,0,0
2월 7일,금,10041 ,0.3,0,8.4,2,0,0,0,0,2014,0,0
2월 8일,토,12986 ,-1.6,0,9.8,2,0,4.3,0,0,2014,1,1
2월 9일,일,13694 ,-2.7,0,8,2,0,0.2,0,0,2014,1,1
2월 10일,월,9363 ,-1.5,0,4.5,2,0,0.2,0,0,2014,0,0
2월 11일,화,0 ,-1.3,0,0.8,2,0,0,10,0,2014,0,0
2월 12일,수,9236 ,-0.3,0,4.4,2,1,0,0,0,2014,0,0
2월 13일,목,7755 ,0.6,0,5.6,2,1,0,0,0,2014,0,0
2월 14일,금,7217 ,1.3,0,4,2,1,0,0,0,2014,0,0
2월 15일,토,13373 ,1.9,0,0.4,2,1,0,0,0,2014,1,1
2월 16일,일,12467 ,2.7,0,5.8,2,1,0,0,0,2014,1,1
2월 17일,월,8729 ,3.3,0,6.4,2,1,0,0,0,2014,0,0
2월 18일,화,0 ,1.2,0,5.3,2,0,0,10,0,2014,0,0
2월 19일,수,9501 ,0.8,0,3.5,2,0,0,0,0,2014,0,0
2월 20일,목,7936 ,0.3,0,0.9,2,0,0,0,0,2014,0,0
2월 21일,금,8026 ,0.3,0,0,2,0,0,0,0,2014,0,0
2월 22일,토,15107 ,2,0,1.4,2,0,0,0,0,2014,1,1
2월 23일,일,13697 ,2.5,0,0,2,0,0,0,0,2014,1,1
2월 24일,월,8141 ,3.6,0,0,2,0,0,0,0,2014,0,0
2월 25일,화,0 ,5.6,0,0,2,0,0,10,0,2014,0,0
2월 26일,수,10285 ,7.9,0,1,2,0,0,0,1,2014,0,0
2월 27일,목,8500 ,7.5,0,4.8,2,0,0,0,0,2014,0,0
2월 28일,금,9045 ,5.7,0,6.3,2,0,0,0,0,2014,0,0
3월 1일,토,18493 ,5.1,0,8.1,3,0,0,0,0,2014,1,1
3월 2일,일,13639 ,3.6,0,0.6,3,0,0,0,0,2014,1,1
3월 3일,월,6305 ,4.8,0,0,3,0,0,0,0,2014,0,0
3월 4일,화,0 ,5.4,0,5.5,3,0,0,10,0,2014,0,0
3월 5일,수,6720 ,-0.4,0,0.5,3,0,0,0,0,2014,0,0
3월 6일,목,6427 ,-1,0,1.9,3,0,0,0,0,2014,0,0
3월 7일,금,7024 ,-2,0,1.8,3,0,0,0,0,2014,0,0
3월 8일,토,14785 ,1.4,0,5.1,3,0,0,0,0,2014,1,1
3월 9일,일,11170 ,0,0,3.4,3,0,2.2,0,0,2014,1,1
3월 10일,월,7467 ,0.5,0,0,3,0,0,0,0,2014,0,0
3월 11일,화,0 ,3.6,0,2.5,3,0,0,10,0,2014,0,0
3월 12일,수,8633 ,5.7,0,8.6,3,0,0.2,0,0,2014,0,0
3월 13일,목,9202 ,3.4,0,7.6,3,0,0,0,0,2014,0,0
3월 14일,금,8491 ,2.4,0,1,3,0,0,0,0,2014,0,0
3월 15일,토,18077 ,6.2,0,1.1,3,0,0,0,0,2014,1,1
3월 16일,일,16539 ,10.3,0,3,3,0,0,0,0,2014,1,1
3월 17일,월,9251 ,12.1,0,6.5,3,0,0.5,0,0,2014,0,0
3월 18일,화,0 ,9.5,0,6.3,3,0,0.4,10,0,2014,0,0
3월 19일,수,11337 ,8.2,0,7.1,3,0,0,0,0,2014,0,0
3월 20일,목,10244 ,5,0,6.8,3,0,0.4,0,0,2014,0,0
3월 21일,금,11339 ,4.8,0,0.3,3,0,0,0,0,2014,0,0
3월 22일,토,22977 ,7.9,0,1,3,0,0,0,0,2014,1,1
3월 23일,일,19096 ,9.5,0,0,3,0,0,0,0,2014,1,1
3월 24일,월,11730 ,10.5,0,5.9,3,0,0,0,0,2014,0,0
3월 25일,화,0 ,13,0,10,3,0,0,10,0,2014,0,0
3월 26일,수,16161 ,14.4,0,5.4,3,0,0,0,1,2014,0,0
3월 27일,목,16316 ,12.3,0,0.9,3,0,0,0,0,2014,0,0
3월 28일,금,15683 ,15.2,0,5.5,3,0,0,0,0,2014,0,0
3월 29일,토,18505 ,13.3,0,9.5,3,0,3.5,0,0,2014,1,1
3월 30일,일,22410 ,13.1,0,2.9,3,0,0,0,0,2014,1,1
3월 31일,월,12738 ,14.1,0,3.1,3,0,0,0,0,2014,0,0
4월 1일,화,0 ,15.7,0,2.4,4,0,0,10,0,2014,0,0
4월 2일,수,19276 ,14.9,0,4.3,4,0,0,0,0,2014,0,0
4월 3일,목,13866 ,8.7,0,8,4,0,0.5,0,0,2014,0,0
4월 4일,금,13369 ,5.6,0,3.8,4,0,0,0,0,2014,0,0
4월 5일,토,21827 ,4.8,0,3.5,4,0,0,0,0,2014,1,1
4월 6일,일,21884 ,6.1,0,0.5,4,0,0,0,0,2014,1,1
4월 7일,월,17737 ,9.5,0,3.4,4,0,0,0,0,2014,0,0
4월 8일,화,0 ,11,0,0,4,0,0,10,0,2014,0,0
4월 9일,수,23245 ,9.1,0,5.8,4,0,0,0,0,2014,0,0
4월 10일,목,22395 ,10.9,0,5.9,4,0,0,0,0,2014,0,0
4월 11일,금,17937 ,12.7,0,5.3,4,0,0,0,0,2014,0,0
4월 12일,토,26446 ,13.6,0,9.4,4,0,0,0,0,2014,1,1
4월 13일,일,23345 ,16.1,0,6.4,4,0,0,0,0,2014,1,1
4월 14일,월,23914 ,15.6,0,0.5,4,0,0,0,0,2014,0,0
4월 15일,화,0 ,11.7,0,4.1,4,0,0,10,0,2014,0,0
4월 16일,수,26262 ,12.6,0,6.8,4,0,0,0,0,2014,0,0
4월 17일,목,26607 ,13.6,0,6.9,4,0,3,0,0,2014,0,0
4월 18일,금,25079 ,14.6,0,4.3,4,0,0,0,0,2014,0,0
4월 19일,토,25418 ,11.9,0,7.9,4,0,0,0,0,2014,1,1
4월 20일,일,23438 ,13.1,0,3.1,4,0,0,0,0,2014,1,1
4월 21일,월,14970 ,13.8,0,3.9,4,0,0,0,0,2014,0,0
4월 22일,화,0 ,14.9,0,2.1,4,0,0,10,0,2014,0,0
4월 23일,수,20569 ,16.5,0,0,4,0,0,0,1,2014,0,0
4월 24일,목,19868 ,18,0,0.6,4,0,0,0,0,2014,0,0
4월 25일,금,14630 ,19.2,0,0.4,4,0,0,0,0,2014,0,0
4월 26일,토,25945 ,18.2,0,7.9,4,0,0,0,0,2014,1,1
4월 27일,일,19694 ,13.5,0,10,4,0,8.5,0,0,2014,1,1
4월 28일,월,12391 ,12,0,10,4,0,13.5,0,0,2014,0,0
