date,day,total,temper,공휴일,cloud,month,night,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,금,23233,1.5,1,7,1,0,0,0,0,2016,1,1
1월 2일,토,24339,5.9,0,7.8,1,0,0,0,0,2016,1,1
1월 3일,일,11950,6.1,0,7.5,1,0,0,0,0,2016,1,1
1월 4일,월,7842,1.1,0,4.4,1,0,0,0,0,2016,0,0
1월 5일,화,0,-3.3,0,3.4,1,0,0,10,0,2016,0,0
1월 6일,수,9369,-1.9,0,6,1,0,0,0,0,2016,0,0
1월 7일,목,8384,-3.7,0,0.3,1,0,0,0,0,2016,0,0
1월 8일,금,7199,-3.5,0,0.5,1,0,0,0,0,2016,0,0
1월 9일,토,12812,-2.4,0,4.1,1,0,0,0,0,2016,1,1
1월 10일,일,13401,-0.3,0,2.6,1,0,0,0,0,2016,1,1
1월 11일,월,8136,-4.4,0,1.1,1,0,0,0,0,2016,0,0
1월 12일,화,0,-5.5,0,0.5,1,0,0,10,0,2016,0,0
1월 13일,수,8920,-5,0,5.5,1,0,0.4,0,0,2016,0,0
1월 14일,목,8791,-3.9,0,4,1,0,0,0,0,2016,0,0
1월 15일,금,8616,-0.6,0,3.1,1,0,0,0,0,2016,0,0
1월 16일,토,14578,-0.9,0,7.1,1,0,0.1,0,0,2016,1,1
1월 17일,일,12960,1.3,0,6.6,1,0,0,0,0,2016,1,1
1월 18일,월,8332,-7.5,0,6,1,0,0.2,0,0,2016,0,0
1월 19일,화,0,-13.6,0,0.5,1,0,0,10,0,2016,0,0
1월 20일,수,12477,-10.8,0,1.9,1,0,0,0,0,2016,0,0
1월 21일,목,9970,-7.6,0,3.9,1,0,0,0,0,2016,0,0
1월 22일,금,10100,-8.1,0,5.4,1,0,0,0,0,2016,0,0
1월 23일,토,12544,-12.4,0,3.5,1,0,0,0,0,2016,1,1
1월 24일,일,11306,-15.3,0,0,1,0,0,0,0,2016,1,1
1월 25일,월,11217,-9.7,0,0.9,1,0,0,0,0,2016,0,0
1월 26일,화,0,-3.8,0,6.1,1,0,0.3,10,0,2016,0,0
1월 27일,수,19022,-1.2,0,2.4,1,0,0,0,1,2016,0,0
1월 28일,목,14117,-0.7,0,6.5,1,0,0,0,0,2016,0,0
1월 29일,금,13720,1.6,0,7.5,1,0,0,0,0,2016,0,0
1월 30일,토,19657,0.4,0,4.5,1,0,0,0,0,2016,1,1
1월 31일,일,14851,-4.8,0,3.1,1,0,0,0,0,2016,1,1
2월 1일,월,12162,-6.8,0,0.4,2,0,0,0,0,2016,0,0
2월 2일,화,0,-5.4,0,0,2,0,0,10,0,2016,0,0
2월 3일,수,12054,-2.4,0,1.8,2,0,0,0,0,2016,0,0
2월 4일,목,8722,-0.8,0,2.9,2,0,0,0,0,2016,0,0
2월 5일,금,6590,-2.5,0,1.6,2,0,0,0,0,2016,0,0
2월 6일,토,10258,-3.7,0,0,2,0,0,0,0,2016,1,1
2월 7일,일,15147,-2.9,1,1,2,0,0,0,0,2016,1,2
2월 8일,월,35035,1.2,1,6.9,2,0,0,0,0,2016,1,1
2월 9일,화,21863,0.2,1,0.5,2,0,0,0,0,2016,1,1
2월 10일,수,21521,2.6,1,0,2,0,0,0,0,2016,1,1
2월 11일,목,12991,7.4,0,6,2,0,0.1,0,0,2016,0,0
2월 12일,금,11162,7.7,0,10,2,0,18,0,0,2016,0,0
2월 13일,토,15905,10.2,0,9.9,2,0,21,0,0,2016,1,1
2월 14일,일,13275,-3.5,0,7.8,2,0,2.5,0,0,2016,1,1
2월 15일,월,12645,-7,0,1.5,2,0,0,0,0,2016,0,0
2월 16일,화,0,-2.7,0,3.8,2,0,0.8,10,0,2016,0,0
2월 17일,수,16480,-0.2,0,0.1,2,0,0,0,0,2016,0,0
2월 18일,목,15151,3.4,0,5.4,2,0,0,0,0,2016,0,0
2월 19일,금,12979,2.3,0,6.8,2,0,0,0,0,2016,0,0
2월 20일,토,16300,1.1,0,1.9,2,0,0,0,0,2016,1,1
2월 21일,일,15198,-0.9,0,3,2,0,0,0,0,2016,1,1
2월 22일,월,10136,0.6,0,9.5,2,0,0,0,0,2016,0,0
2월 23일,화,0,-0.3,0,4.3,2,0,0.9,10,0,2016,0,0
2월 24일,수,12402,-3.5,0,0.3,2,0,0,0,1,2016,0,0
2월 25일,목,11119,-0.2,0,2.4,2,0,0,0,0,2016,0,0
2월 26일,금,10874,1.7,0,3,2,0,0,0,0,2016,0,0
2월 27일,토,16098,2.9,0,6.6,2,0,0.2,0,0,2016,1,1
2월 28일,일,12521,0.3,0,6.1,2,0,4.1,0,0,2016,1,1
2월 29일,월,8673,-4.5,0,2.5,2,0,0,0,0,2016,0,0
3월 1일,화,8447,-3.1,1,1.5,3,0,0,0,0,2016,1,1
3월 2일,수,7004,2.4,0,6.4,3,1,0,0,0,2016,0,0
3월 3일,목,7009,7.5,0,5.6,3,1,0,0,0,2016,0,0
3월 4일,금,10689,11.5,0,5.3,3,1,0.1,0,0,2016,0,0
3월 5일,토,6580,10.6,0,9.8,3,1,40,0,0,2016,1,1
3월 6일,일,16183,7.2,0,2.4,3,1,0.2,0,0,2016,1,1
3월 7일,월,9683,7.7,0,8,3,1,0,0,0,2016,0,0
3월 8일,화,0,1.9,0,8.5,3,0,0,10,0,2016,0,0
3월 9일,수,10695,-0.6,0,4.4,3,1,0,0,0,2016,0,0
3월 10일,목,8985,-2.1,0,1.3,3,1,0,0,0,2016,0,0
3월 11일,금,10539,-1.1,0,0,3,1,0,0,0,2016,0,0
3월 12일,토,16774,1.9,0,5.4,3,1,0,0,0,2016,1,1
3월 13일,일,14123,3.2,0,7.8,3,1,0.1,0,0,2016,1,1
3월 14일,월,11296,4.1,0,3.5,3,1,0,0,0,2016,0,0
3월 15일,화,0,5.1,0,3.8,3,0,0,10,0,2016,0,0
3월 16일,수,14348,7.5,0,2.4,3,1,0,0,0,2016,0,0
3월 17일,목,11821,9.3,0,6.1,3,1,0,0,0,2016,0,0
3월 18일,금,12499,12.6,0,4.4,3,1,0,0,0,2016,0,0
3월 19일,토,26664,10.9,0,0,3,1,0,0,0,2016,1,1
3월 20일,일,21957,9.9,0,0.5,3,1,0,0,0,2016,1,1
3월 21일,월,13609,9.9,0,0.1,3,1,0,0,0,2016,0,0
3월 22일,화,0,7.3,0,3.9,3,0,0,10,0,2016,0,0
3월 23일,수,16643,7.1,0,3.1,3,1,0,0,0,2016,0,0
3월 24일,목,15414,6.3,0,0.4,3,1,0,0,0,2016,0,0
3월 25일,금,14882,6.4,0,1,3,1,0,0,0,2016,0,0
3월 26일,토,26183,5.8,0,0.5,3,1,0,0,0,2016,1,1
3월 27일,일,22144,6.5,0,0,3,1,0,0,0,2016,1,1
3월 28일,월,15993,9.4,0,0.3,3,1,0,0,0,2016,0,0
3월 29일,화,0,11.2,0,7.4,3,0,0.1,10,0,2016,0,0
3월 30일,수,21531,11,0,2,3,1,0,0,1,2016,0,0
3월 31일,목,18502,13.7,0,4.5,3,1,0,0,0,2016,0,0
4월 1일,금,17400,15.7,0,3,4,1,0,0,0,2016,0,0
4월 2일,토,28929,15.1,0,2.4,4,1,0,0,0,2016,1,1
4월 3일,일,18691,9.9,0,8,4,1,2,0,0,2016,1,1
4월 4일,월,18301,11.8,0,2.3,4,1,0,0,0,2016,0,0
4월 5일,화,0,10.8,0,0.8,4,0,0,10,0,2016,0,0
4월 6일,수,19956,13.4,0,6.8,4,0,3,0,0,2016,0,0
4월 7일,목,17867,13.1,0,3.9,4,0,7.5,0,0,2016,0,0
4월 8일,금,19022,10.7,0,3.8,4,0,0,0,0,2016,0,0
4월 9일,토,27742,10.3,0,8,4,0,0,0,0,2016,1,1
4월 10일,일,23486,12.7,0,5,4,0,0,0,0,2016,1,1
4월 11일,월,18846,11.5,0,0,4,0,0,0,0,2016,0,0
4월 12일,화,0,13.4,0,6,4,0,0,10,0,2016,0,0
4월 13일,수,27439,14.2,1,5.1,4,0,1,0,0,2016,1,1
4월 14일,목,87684,12.5,0,2.3,4,0,0,0,0,2016,0,0
4월 15일,금,19436,15,0,0,4,0,0,0,0,2016,0,0
4월 16일,토,23523,14.5,0,7.5,4,0,23.5,0,0,2016,1,1
4월 17일,일,25349,10.1,0,6.1,4,0,20.5,0,0,2016,1,1
4월 18일,월,19778,10.9,0,5.5,4,0,1.5,0,0,2016,0,0
4월 19일,화,0,11.8,0,2.5,4,0,0,10,0,2016,0,0
4월 20일,수,28764,14,0,8.9,4,0,0.5,0,0,2016,0,0
4월 21일,목,23080,12.4,0,9.4,4,0,17,0,0,2016,0,0
4월 22일,금,21253,13.1,0,7.6,4,0,0,0,0,2016,0,0
4월 23일,토,26373,12.8,0,6.3,4,0,0,0,0,2016,1,1
4월 24일,일,21519,15.5,0,2.3,4,0,0,0,0,2016,1,1
4월 25일,월,20319,18,0,0.8,4,0,0,0,0,2016,0,0
4월 26일,화,0,20.4,0,5.9,4,0,0,10,0,2016,0,0
4월 27일,수,30415,15.8,0,9.6,4,0,0,0,1,2016,0,0
4월 28일,목,25120,17,0,6.4,4,0,0,0,0,2016,0,0
4월 29일,금,23518,16,0,2.5,4,1,0.3,0,0,2016,0,0
4월 30일,토,28935,15.3,0,5.4,4,1,0,0,0,2016,1,1
5월 1일,일,26423,18.9,0,5.6,5,1,0,0,0,2016,1,1
5월 2일,월,17601,20.3,0,7,5,1,16.5,0,0,2016,0,0
5월 3일,화,2888,11.9,0,10,5,0,27,0,0,2016,0,0
5월 4일,수,22849,14.6,0,1.6,5,1,0,0,0,2016,0,0
5월 5일,목,81148,18,1,4.5,5,1,7.5,0,0,2016,1,1
5월 6일,금,16462,15.4,1,9.3,5,1,9.5,0,0,2016,1,1
5월 7일,토,77854,15.7,0,2,5,1,0,0,0,2016,1,1
5월 8일,일,"28,049",18.7,0,5.4,5,1,0,0,0,2016,1,1
5월 9일,월,14016,19.5,0,8.3,5,1,0,0,0,2016,0,0
5월 10일,화,0,13.4,0,9.1,5,0,13.5,10,0,2016,0,0
5월 11일,수,26043,16.1,0,2,5,1,0,0,0,2016,0,0
5월 12일,목,21679,17.8,0,3.3,5,1,0,0,0,2016,0,0
5월 13일,금,26643,17.3,0,3.6,5,1,0.5,0,0,2016,0,0
5월 14일,토,27528,19.5,1,5.5,5,1,0,0,0,2016,1,2
5월 15일,일,14180,17.1,0,9,5,1,45,0,0,2016,1,1
5월 16일,월,19532,15,0,3,5,1,2.5,0,0,2016,0,0
