date,day,total,평균기온(°C),공휴일,cloud,month,night,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,일,18647,3.4,1,7,1,0,0,0,0,2017,1,2
1월 2일,월,11679,4.7,0,7.6,1,0,0.3,0,0,2017,0,0
1월 3일,화,0,2.2,0,1.1,1,0,0,10,0,2017,0,0
1월 4일,수,9719,4.1,0,2.6,1,0,0,0,0,2017,0,0
1월 5일,목,8386,3.5,0,8.4,1,0,0,0,0,2017,0,0
1월 6일,금,9513,5,0,4.1,1,0,0,0,0,2017,0,0
1월 7일,토,11155,4.9,0,3,1,0,0,0,0,2017,1,1
1월 8일,일,12209,5.6,0,8.1,1,0,0,0,0,2017,1,1
1월 9일,월,8082,0.6,0,4.3,1,0,0,0,0,2017,0,0
1월 10일,화,0,-4.2,0,0.8,1,0,0,10,0,2017,0,0
1월 11일,수,8030,-4.1,0,1.9,1,0,0,0,0,2017,0,0
1월 12일,목,8016,-3,0,2.1,1,0,0,0,0,2017,0,0
1월 13일,금,7715,-6.7,0,1.8,1,0,0.6,0,0,2017,0,0
1월 14일,토,8706,-9.4,0,0,1,0,0,0,0,2017,1,1
1월 15일,일,11350,-6.8,0,0,1,0,0,0,0,2017,1,1
1월 16일,월,9278,-3.9,0,0.1,1,0,0,0,0,2017,0,0
1월 17일,화,0,-1.6,0,4.4,1,0,0,10,0,2017,0,0
1월 18일,수,13146,-0.3,0,4,1,0,0,0,0,2017,0,0
1월 19일,목,11190,-1.4,0,6.3,1,0,0,0,0,2017,0,0
1월 20일,금,11346,-5.6,0,4.8,1,0,4,0,0,2017,0,0
1월 21일,토,12612,-5.5,0,5.3,1,0,2.1,0,0,2017,1,1
1월 22일,일,14243,-9.1,0,0,1,0,0,0,0,2017,1,1
1월 23일,월,9162,-9.7,0,0,1,0,0,0,0,2017,0,0
1월 24일,화,0,-7.3,0,0,1,0,0,10,0,2017,0,0
1월 25일,수,9408,-5,0,0,1,0,0,0,1,2017,0,0
1월 26일,목,6522,-1.6,0,6.9,1,0,0.3,0,0,2017,0,0
1월 27일,금,11557,-3.6,1,1.6,1,0,3,0,0,2017,1,1
1월 28일,토,40634,-2.2,1,6.6,1,0,0,0,0,2017,1,2
1월 29일,일,16353,0.1,1,9.6,1,0,4.5,0,0,2017,1,2
1월 30일,월,18204,-6,1,2.9,1,0,0.1,0,0,2017,1,1
1월 31일,화,0,-5.6,0,3.1,1,0,0,10,0,2017,0,0
2월 1일,수,14798,-4.6,0,1.4,2,0,0,0,0,2017,0,0
2월 2일,목,12542,-3.4,0,1.3,2,0,0,0,0,2017,0,0
2월 3일,금,12944,1.4,0,2.3,2,0,0,0,0,2017,0,0
2월 4일,토,14254,0.5,0,7,2,0,0,0,0,2017,1,1
2월 5일,일,12358,0.7,0,7.3,2,0,0.5,0,0,2017,1,1
