date,day,total,temp,holiday,cloud,month,NightOpen,rain,closed,culture,year,holiday&weekend,holiday+weekend,predict
1월 1일,화,,-6.1,1,3.4,1,0,0,10,0,2019,1,1,0
1월 2일,수,,-5.8,0,0,1,0,0,0,0,2019,0,0,6470.9095
1월 3일,목,,-4,0,0.1,1,0,0,0,0,2019,0,0,7486.7515
1월 4일,금,,-1.7,0,5.5,1,0,0,0,0,2019,0,0,7604.531861
1월 5일,토,,-4.2,0,0.5,1,0,0,0,0,2019,1,1,13308.874
1월 6일,일,,-3.5,0,3.1,1,0,0,0,0,2019,1,1,10936.964
1월 7일,월,,-2.5,0,4,1,0,0,0,0,2019,0,0,7120.460194
1월 8일,화,,-5,0,0,1,0,0,10,0,2019,0,0,0
1월 9일,수,,-6,0,4.9,1,0,0,0,0,2019,0,0,6527.9735
1월 10일,목,,-2.1,0,8.1,1,0,0,0,0,2019,0,0,7161.2595
1월 11일,금,,1.2,0,6.1,1,0,0,0,0,2019,0,0,7902.070444
1월 12일,토,,1.9,0,3.9,1,0,0,0,0,2019,1,1,13533.39377
1월 13일,일,,0.8,0,0,1,0,0,0,0,2019,1,1,14440.0455
1월 14일,월,,0.7,0,4.5,1,0,0,0,0,2019,0,0,7252.163861
1월 15일,화,,-3.6,0,3.8,1,0,0,10,0,2019,0,0,0
1월 16일,수,,-6.9,0,4.1,1,0,0,0,0,2019,0,0,5895.228
1월 17일,목,,-1.3,0,1.8,1,0,0,0,0,2019,0,0,8061.4415
1월 18일,금,,0,0,3,1,0,0,0,0,2019,0,0,7353.006444
1월 19일,토,,2.4,0,7.8,1,0,0,0,0,2019,1,1,13458.5015
1월 20일,일,,-3.3,0,1.1,1,0,0,0,0,2019,1,1,11653.624
1월 21일,월,,-1.9,0,4.1,1,0,0,0,0,2019,0,0,7271.587861
1월 22일,화,,1.5,0,1.1,1,0,0,10,0,2019,0,0,0
1월 23일,수,,0.9,0,0.9,1,0,0,0,0,2019,0,0,7814.3765
1월 24일,목,,-0.9,0,2.1,1,0,0,0,0,2019,0,0,8091.949
1월 25일,금,,-2.8,0,1.3,1,0,0,0,0,2019,0,0,6682.2625
1월 26일,토,,-4.2,0,0,1,0,0,0,0,2019,1,1,12568.8715
1월 27일,일,,-1.4,0,4.3,1,0,0,0,0,2019,1,1,11628.784
1월 28일,월,,-0.7,0,1.3,1,0,0,0,0,2019,0,0,7291.423
1월 29일,화,,-1.4,0,2.1,1,0,0,10,0,2019,0,0,0
1월 30일,수,,0.9,0,6.9,1,0,0,0,1,2019,0,0,8222.7335
1월 31일,목,,-3.9,0,7,1,0,0,0,0,2019,0,0,7065.41775
2월 1일,금,,-3.1,0,3,2,0,0,0,0,2019,0,0,8162.8885
2월 2일,토,,0.3,0,7.5,2,0,0,0,0,2019,1,1,15761.92133
2월 3일,일,,1.5,0,9.3,2,0,10.5,0,0,2019,1,1,12597.1415
2월 4일,월,,-1.9,1,2.4,2,0,0,0,0,2019,1,1,16225.637
2월 5일,화,,2.2,1,3.9,2,0,0,10,0,2019,1,1,0
2월 6일,수,,4.4,1,8.1,2,0,0,0,0,2019,1,1,15630.39683
2월 7일,목,,-4,0,4.3,2,0,0,0,0,2019,0,0,6942.69
2월 8일,금,,-7.7,0,6.1,2,0,0,0,0,2019,0,0,5699.3105
2월 9일,토,,-7.3,0,4.4,2,0,0,0,0,2019,1,1,9069.3045
2월 10일,일,,-6.3,0,7.5,2,0,0,0,0,2019,1,1,10806.1265
2월 11일,월,,-4.4,0,0.4,2,0,0,0,0,2019,0,0,7797.814
2월 12일,화,,-1.9,0,5.6,2,0,0,10,0,2019,0,0,0
2월 13일,수,,-3.7,0,1.8,2,0,0,0,0,2019,0,0,9475.1485
2월 14일,목,,-1.9,0,5.3,2,0,0,0,0,2019,0,0,9422.721726
2월 15일,금,,-2.5,0,9.1,2,0,1,0,0,2019,0,0,6955.708154
2월 16일,토,,-4.2,0,2.4,2,0,0,0,0,2019,1,1,14044.0885
2월 17일,일,,-2.6,0,0.1,2,0,0,0,0,2019,1,1,12798.8605
2월 18일,월,,-0.3,0,7.4,2,0,0,0,0,2019,0,0,8221.414654
2월 19일,화,,-0.5,0,9.4,2,0,1.5,10,0,2019,0,0,0
2월 20일,수,,0.2,0,6.5,2,0,0,0,0,2019,0,0,9939.1957
2월 21일,목,,1.2,0,0,2,0,0,0,0,2019,0,0,9957.505393
2월 22일,금,,3.2,0,5.4,2,0,0,0,0,2019,0,0,9230.449643
2월 23일,토,,6,0,2.9,2,0,0,0,0,2019,1,1,17511.5959
2월 24일,일,,6.2,0,1.6,2,0,0,0,0,2019,1,1,17088.60769
2월 25일,월,,3.3,0,4.8,2,0,0,0,0,2019,0,0,9514.336393
2월 26일,화,,4.4,0,3.6,2,0,0,10,0,2019,0,0,0
2월 27일,수,,6.8,0,7.5,2,0,0,0,1,2019,0,0,10932.46533
2월 28일,목,,5.9,0,3.3,2,0,0,0,0,2019,0,0,10556.42363
3월 1일,금,,6,1,0.3,3,0,0,0,0,2019,1,1,29201.1775
3월 2일,토,,6.8,0,5.8,3,0,0,0,0,2019,1,1,17498.92094
3월 3일,일,,8.8,0,4.8,3,0,0,0,0,2019,1,1,18096.07551
3월 4일,월,,8.5,0,2.3,3,0,0,0,0,2019,0,0,10895.48838
3월 5일,화,,6.8,0,8.6,3,0,0,10,0,2019,0,0,0
3월 6일,수,,7,0,6.3,3,0,0,0,0,2019,0,0,9443.564214
3월 7일,목,,5.9,0,1.5,3,0,0,0,0,2019,0,0,9094.011667
3월 8일,금,,5.5,0,0.1,3,0,0,0,0,2019,0,0,7916.139
3월 9일,토,,6.5,0,5.4,3,0,0,0,0,2019,1,1,18208.47504
3월 10일,일,,8.9,0,7.1,3,0,0,0,0,2019,1,1,17327.71713
3월 11일,월,,5.6,0,4.9,3,0,0,0,0,2019,0,0,8158.497131
3월 12일,화,,2.2,0,4.9,3,0,0,10,0,2019,0,0,0
3월 13일,수,,1.9,0,1.8,3,0,0,0,0,2019,0,0,8010.626875
3월 14일,목,,3.9,0,5.5,3,0,0,0,0,2019,0,0,8008.662385
3월 15일,금,,3.7,0,7.4,3,0,2,0,0,2019,0,0,6918.9155
3월 16일,토,,3.2,0,5.5,3,0,0,0,0,2019,1,1,15833.8811
3월 17일,일,,4.7,0,2,3,0,0,0,0,2019,1,1,15533.64844
3월 18일,월,,6.4,0,6.3,3,0,0,0,0,2019,0,0,8754.377864
3월 19일,화,,9.4,0,1.4,3,0,0,10,0,2019,0,0,0
3월 20일,수,,8.7,0,8.8,3,0,13,0,0,2019,0,0,9818.053
3월 21일,목,,5.5,0,7.9,3,0,3.5,0,0,2019,0,0,6568.133
3월 22일,금,,1.4,0,0.8,3,0,0,0,0,2019,0,0,8565.719667
3월 23일,토,,2.2,0,3,3,0,1.5,0,0,2019,1,1,14915.592
3월 24일,일,,3.2,0,0.1,3,0,0,0,0,2019,1,1,16057.318
3월 25일,월,,5.8,0,6.6,3,0,0,0,0,2019,0,0,8514.084631
3월 26일,화,,10,0,2.6,3,0,0,10,0,2019,0,0,0
3월 27일,수,,10.1,0,8.5,3,0,0,0,1,2019,0,0,11792.85267
3월 28일,목,,8.1,0,6.1,3,0,0,0,0,2019,0,0,11156.31353
3월 29일,금,,7.8,0,4.6,3,0,0,0,0,2019,0,0,14404.3545
3월 30일,토,,3.6,0,9.4,3,0,2.5,0,0,2019,1,1,14433.0195
3월 31일,일,,2.7,0,5.1,3,0,0,0,0,2019,1,1,14099.618
4월 1일,월,,4.3,0,1.3,4,0,0,0,0,2019,0,0,13675.698
4월 2일,화,,5.6,0,0.3,4,0,0,10,0,2019,0,0,0
4월 3일,수,,6.4,0,0.3,4,0,0,0,0,2019,0,0,15627.1315
4월 4일,목,,8,0,0,4,0,0,0,0,2019,0,0,14972.3335
4월 5일,금,,10,0,3,4,0,0,0,0,2019,0,0,16824.22541
4월 6일,토,,8.4,0,8.5,4,0,0,0,0,2019,1,1,19448.1025
4월 7일,일,,11.4,0,4.4,4,0,0,0,0,2019,1,1,20657.56484
4월 8일,월,,10.4,0,3.3,4,0,0,0,0,2019,0,0,16380.45535
4월 9일,화,,7.4,0,9.4,4,0,8.5,10,0,2019,0,0,0
4월 10일,수,,5.4,0,8.3,4,0,1,0,0,2019,0,0,13501.1255
4월 11일,목,,8.9,0,4.6,4,0,0,0,0,2019,0,0,17930.06817
4월 12일,금,,10.4,0,1.8,4,0,0,0,0,2019,0,0,17080.85336
4월 13일,토,,11.5,0,5.6,4,0,0,0,0,2019,1,1,23460.08133
4월 14일,일,,8.3,0,6,4,0,2,0,0,2019,1,1,17501
4월 15일,월,,11.5,0,0,4,0,0,0,0,2019,0,0,15632.55
