date,day,total,temp,공휴일,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,월,2316 ,-2.6,1,0.9,1,0,2018,1,1
1월 2일,화,988 ,-2.7,0,4.1,1,0,2018,0,0
1월 3일,수,694 ,-4.7,0,2.3,1,0,2018,0,0
1월 4일,목,671 ,-5.1,0,6,1,0,2018,0,0
1월 5일,금,758 ,-3.9,0,2.5,1,0,2018,0,0
1월 6일,토,1935 ,-3.9,0,0,1,0,2018,1,1
1월 7일,일,1881 ,-2.4,0,7.1,1,0,2018,1,1
1월 8일,월,634 ,1.1,0,9.8,1,1,2018,0,0
1월 9일,화,523 ,-3.8,0,5.3,1,0,2018,0,0
1월 10일,수,382 ,-7.6,0,1.4,1,0,2018,0,0
1월 11일,목,312 ,-10.7,0,0.6,1,0,2018,0,0
1월 12일,금,228 ,-10,0,2.5,1,0,2018,0,0
1월 13일,토,1015 ,-5.3,0,7.1,1,0,2018,1,1
1월 14일,일,1654 ,-0.6,0,5.1,1,0,2018,1,1
1월 15일,월,645 ,3.4,0,5.3,1,0,2018,0,0
1월 16일,화,699 ,1.9,0,9.5,1,0,2018,0,0
1월 17일,수,631 ,3.4,0,8.3,1,0,2018,0,0
1월 18일,목,1503 ,1.8,0,7.6,1,0,2018,0,0
1월 19일,금,918 ,0.1,0,3.4,1,0,2018,0,0
1월 20일,토,2083 ,0.7,0,4.9,1,0,2018,1,1
1월 21일,일,2123 ,-1.4,0,2.1,1,0,2018,1,1
1월 22일,월,852 ,0,0,8.3,1,2.5,2018,0,0
1월 23일,화,363 ,-11.3,0,0.1,1,0,2018,0,0
1월 24일,수,128 ,-13.8,0,0,1,0,2018,0,0
1월 25일,목,162 ,-13.5,0,3,1,0,2018,0,0
1월 26일,금,222 ,-14.7,0,0,1,0,2018,0,0
1월 27일,토,655 ,-10.5,0,1.6,1,0,2018,1,1
1월 28일,일,962 ,-5.6,0,3.5,1,0,2018,1,1
1월 29일,월,409 ,-8.1,0,0.5,1,0,2018,0,0
1월 30일,화,9660 ,-5.7,0,4.5,1,0.5,2018,0,0
1월 31일,수,585 ,-3,0,7.1,1,0,2018,0,0
2월 1일,목,679 ,-5.8,0,0,2,0,2018,0,0
2월 2일,금,704 ,-4.5,0,1.9,2,0,2018,0,0
2월 3일,토,1049 ,-6.9,0,1.5,2,0,2018,1,1
2월 4일,일,790 ,-9.1,0,0,2,0,2018,1,1
2월 5일,월,348 ,-9.2,0,0,2,0,2018,0,0
2월 6일,화,369 ,-10,0,0.8,2,0,2018,0,0
2월 7일,수,418 ,-9.2,0,1,2,0,2018,0,0
2월 8일,목,724 ,-6.1,0,0.1,2,0,2018,0,0
2월 9일,금,657 ,-0.8,0,6.9,2,0,2018,0,0
2월 10일,토,1861 ,-0.5,0,6.5,2,0,2018,1,1
2월 11일,일,1159 ,-5.7,0,3.8,2,0,2018,1,1
2월 12일,월,499 ,-5.8,0,3.1,2,0,2018,0,0
2월 13일,화,725 ,-2,0,1.5,2,0,2018,0,0
2월 14일,수,810 ,3.2,0,6.3,2,0,2018,0,0
2월 15일,목,1765 ,-1,1,3.8,2,0,2018,1,1
2월 16일,금,3007 ,-1.5,1,3.5,2,0,2018,1,1
2월 17일,토,3590 ,-3,1,1.8,2,0,2018,1,2
2월 18일,일,3370 ,-1,0,6.4,2,0,2018,1,1
2월 19일,월,1558 ,0.6,0,5.8,2,0,2018,0,0
2월 20일,화,1243 ,0.3,0,5.8,2,0,2018,0,0
2월 21일,수,1169 ,-1.7,0,2.5,2,0,2018,0,0
2월 22일,목,1348 ,0.7,0,4.9,2,0,2018,0,0
2월 23일,금,1079 ,4.4,0,7.9,2,3,2018,0,0
2월 24일,토,3362 ,1.9,0,6.3,2,0,2018,1,1
2월 25일,일,6139 ,1.1,0,2.6,2,0,2018,1,1
2월 26일,월,2252 ,1.5,0,0.8,2,0,2018,0,0
2월 27일,화,1517 ,2.5,0,7.5,2,0,2018,0,0
2월 28일,수,626 ,3.5,0,10,2,32,2018,0,0
3월 1일,목,3290 ,0,1,5.5,3,2,2018,1,1
3월 2일,금,1500 ,-0.8,0,2.3,3,0,2018,0,0
3월 3일,토,14540 ,7.5,0,4.3,3,0,2018,1,1
3월 4일,일,3619 ,9.5,0,9.9,3,14,2018,1,1
3월 5일,월,1049 ,4.8,0,5.8,3,4,2018,0,0
3월 6일,화,1751 ,3.3,0,2.4,3,0,2018,0,0
3월 7일,수,1434 ,5.9,0,8,3,0.5,2018,0,0
3월 8일,목,604 ,4.2,0,7.3,3,5.5,2018,0,0
3월 9일,금,1366 ,3.5,0,5.9,3,0,2018,0,0
3월 10일,토,10723 ,3.6,0,2.5,3,0,2018,1,1
3월 11일,일,14512 ,5.7,0,2.1,3,0,2018,1,1
3월 12일,월,1555 ,6.5,0,1,3,0,2018,0,0
3월 13일,화,1819 ,11.5,0,5.4,3,0,2018,0,0
3월 14일,수,3032 ,16.7,0,5,3,0,2018,0,0
3월 15일,목,390 ,12.2,0,9.9,3,42.5,2018,0,0
3월 16일,금,2101 ,6.1,0,2.9,3,0,2018,0,0
3월 17일,토,21711 ,5.9,0,4.3,3,0,2018,1,1
3월 18일,일,11340 ,8.1,0,9.9,3,1,2018,1,1
3월 19일,월,785 ,7.9,0,9.8,3,2.5,2018,0,0
3월 20일,화,1228 ,4.8,0,6.8,3,0,2018,0,0
3월 21일,수,2184 ,1.5,0,10,3,0,2018,0,0
3월 22일,목,1559 ,4.6,0,2,3,0,2018,0,0
3월 23일,금,1922 ,5.2,0,6.1,3,0,2018,0,0
3월 24일,토,8418 ,7,0,5.1,3,0,2018,1,1
3월 25일,일,7334 ,9.3,0,4.8,3,0,2018,1,1
3월 26일,월,1227 ,10.1,0,3.8,3,0,2018,0,0
3월 27일,화,1297 ,12.6,0,1.1,3,0,2018,0,0
3월 28일,수,1830 ,14.6,0,3.6,3,0,2018,0,0
3월 29일,목,1588 ,15,0,4,3,0,2018,0,0
3월 30일,금,3670 ,13.3,0,1.5,3,0,2018,0,0
3월 31일,토,24609 ,13,0,0.5,3,0,2018,1,1
4월 1일,일,15121 ,15.1,0,8.9,4,0,2018,1,1
4월 2일,월,2785 ,17.3,0,4.4,4,0,2018,0,0
4월 3일,화,3689 ,17.8,0,7.8,4,0,2018,0,0
4월 4일,수,2575 ,12.2,0,7.9,4,21.5,2018,0,0
4월 5일,목,992 ,7.7,0,10,4,11.5,2018,0,0
4월 6일,금,3920 ,6.3,0,9.3,4,8.5,2018,0,0
4월 7일,토,12741 ,4.5,0,4,4,0,2018,1,1
4월 8일,일,12683 ,4.4,0,6.1,4,3.5,2018,1,1
4월 9일,월,5775 ,7.2,0,0.4,4,0,2018,0,0
4월 10일,화,7236 ,14.5,0,5.3,4,2.5,2018,0,0
4월 11일,수,4184 ,12.2,0,3.9,4,0,2018,0,0
4월 12일,목,7264 ,11.9,0,0.9,4,0,2018,0,0
4월 13일,금,8694 ,13.7,0,8.1,4,0,2018,0,0
4월 14일,토,2097 ,8.7,0,9.4,4,11,2018,1,1
4월 15일,일,21355 ,8.9,0,4.5,4,0,2018,1,1
4월 16일,월,5480 ,10.2,0,1,4,0,2018,0,0
4월 17일,화,5164 ,11.4,0,1,4,0,2018,0,0
4월 18일,수,5634 ,11.4,0,0,4,0,2018,0,0
4월 19일,목,5069 ,13,0,0.6,4,0,2018,0,0
4월 20일,금,5353 ,17.1,0,0,4,0,2018,0,0
4월 21일,토,32610 ,17,0,3.4,4,0,2018,1,1
4월 22일,일,7680 ,14.4,0,8.6,4,6.5,2018,1,1
4월 23일,월,288 ,9.6,0,10,4,51.5,2018,0,0
4월 24일,화,4340 ,11.5,0,8.1,4,0.5,2018,0,0
4월 25일,수,8633 ,13.1,0,0.3,4,0,2018,0,0
4월 26일,목,15833 ,14.2,0,4,4,0,2018,0,0
4월 27일,금,14350 ,14.4,0,0.5,4,0,2018,0,0
4월 28일,토,22964 ,14.5,0,0,4,0,2018,1,1
4월 29일,일,29774 ,14.7,0,2.4,4,0,2018,1,1
4월 30일,월,15101 ,18.4,0,4.4,4,0,2018,0,0
5월 1일,화,22284 ,19.9,0,7.9,5,0,2018,0,0
5월 2일,수,1349 ,15.2,0,9.9,5,4,2018,0,0
5월 3일,목,9103 ,11.5,0,2.1,5,0.5,2018,0,0
5월 4일,금,11398 ,14.5,0,1,5,0,2018,0,0
5월 5일,토,52310 ,17.8,1,5.5,5,0,2018,1,2
5월 6일,일,3344 ,15.5,0,9.4,5,25.5,2018,1,1
5월 7일,월,32821 ,18.4,1,5.9,5,0,2018,1,1
5월 8일,화,5728 ,17,0,5,5,0,2018,0,0
5월 9일,수,5892 ,14.4,0,0,5,0,2018,0,0
5월 10일,목,6762 ,15.1,0,2.5,5,0,2018,0,0
5월 11일,금,9835 ,16.3,0,9.5,5,0,2018,0,0
5월 12일,토,1345 ,13.7,0,10,5,38.5,2018,1,1
5월 13일,일,23131 ,15.5,0,7.4,5,0,2018,1,1
5월 14일,월,4102 ,17.6,0,5.4,5,0,2018,0,0
5월 15일,화,4825 ,22.3,0,6.6,5,0,2018,0,0
5월 16일,수,896 ,22.3,0,10,5,27,2018,0,0
5월 17일,목,1309 ,21.2,0,10,5,75.5,2018,0,0
5월 18일,금,5492 ,16.1,0,8.4,5,3,2018,0,0
5월 19일,토,33655 ,16.8,0,1,5,0,2018,1,1
5월 20일,일,30449 ,14.8,0,4,5,0,2018,1,1
5월 21일,월,19298 ,15.8,0,2.8,5,0,2018,0,0
5월 22일,화,28495 ,17.3,1,8.3,5,13.5,2018,1,1
5월 23일,수,6302 ,17.5,0,1.8,5,7,2018,0,0
5월 24일,목,6387 ,17.7,0,0.8,5,0,2018,0,0
5월 25일,금,8457 ,18.2,0,4,5,0,2018,0,0
5월 26일,토,27705 ,19.9,0,1,5,0,2018,1,1
5월 27일,일,32244 ,19.1,0,7,5,0,2018,1,1
5월 28일,월,27205 ,21.3,0,2.8,5,0,2018,0,0
5월 29일,화,8741 ,20.9,0,9.3,5,2.5,2018,0,0
5월 30일,수,7303 ,19.5,0,5,5,0,2018,0,0
5월 31일,목,26276 ,20.3,0,2.1,5,0,2018,0,0
6월 1일,금,9969 ,22.9,0,0,6,0,2018,0,0
6월 2일,토,26341 ,22.2,0,1.4,6,0,2018,1,1
6월 3일,일,25808 ,22.1,0,3.9,6,0,2018,1,1
6월 4일,월,5922 ,21.4,0,7.5,6,0,2018,0,0
6월 5일,화,9027 ,22.8,0,3.3,6,0,2018,0,0
6월 6일,수,29944 ,22.4,1,0.6,6,0,2018,1,1
6월 7일,목,6171 ,21.6,0,3.8,6,0,2018,0,0
6월 8일,금,7157 ,21.5,0,5.1,6,0,2018,0,0
6월 9일,토,18036 ,22.6,0,7.5,6,0.5,2018,1,1
6월 10일,일,19328 ,21.2,0,9.8,6,1,2018,1,1
6월 11일,월,3626 ,19.8,0,8.1,6,0,2018,0,0
6월 12일,화,5547 ,20.9,0,4.6,6,3.5,2018,0,0
6월 13일,수,17997 ,21.3,1,7.3,6,0,2018,1,1
6월 14일,목,1766 ,21.7,0,8.8,6,3,2018,0,0
6월 15일,금,4362 ,21.5,0,4.9,6,0.5,2018,0,0
6월 16일,토,15207 ,21.6,0,0.8,6,0,2018,1,1
6월 17일,일,12254 ,21.9,0,7.8,6,0,2018,1,1
6월 18일,월,2432 ,24.1,0,3.5,6,0,2018,0,0
6월 19일,화,3781 ,21.5,0,8.4,6,0,2018,0,0
6월 20일,수,3212 ,22.7,0,5.4,6,0,2018,0,0
6월 21일,목,2893 ,23.5,0,4.1,6,0,2018,0,0
6월 22일,금,16022 ,24.2,0,5.6,6,0,2018,0,0
6월 23일,토,8845 ,23.9,0,7.5,6,0,2018,1,1
6월 24일,일,6553 ,25,0,3.5,6,0,2018,1,1
6월 25일,월,2284 ,26.3,0,7.3,6,0,2018,0,0
6월 26일,화,13766 ,21.8,0,10,6,76.5,2018,0,0
6월 27일,수,1986 ,22.5,0,9,6,0.5,2018,0,0
6월 28일,목,1969 ,22.8,0,9.8,6,5.5,2018,0,0
6월 29일,금,8100 ,24.9,0,5.5,6,0.5,2018,0,0
6월 30일,토,3604 ,24.5,0,8.5,6,0.5,2018,1,1
7월 1일,일,411 ,21.5,0,9.9,7,86,2018,1,1
7월 2일,월,334 ,22.5,0,9.9,7,80.5,2018,0,0
7월 3일,화,1777 ,26.8,0,5.8,7,0,2018,0,0
7월 4일,수,1568 ,27,0,6.6,7,0,2018,0,0
7월 5일,목,1283 ,25.3,0,8.6,7,9,2018,0,0
7월 6일,금,2418 ,23.6,0,8.3,7,0,2018,0,0
7월 7일,토,11179 ,23.8,0,3.9,7,0,2018,1,1
7월 8일,일,12207 ,22.7,0,5.8,7,0,2018,1,1
7월 9일,월,574 ,20.7,0,9.6,7,11.5,2018,0,0
7월 10일,화,1614 ,24,0,9.9,7,6,2018,0,0
7월 11일,수,1407 ,26.8,0,9.3,7,2,2018,0,0
7월 12일,목,2517 ,26.8,0,6.4,7,0,2018,0,0
