date,day,predict,temp,holiday,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,화,1524 ,-5.8,1,2.1,1,0,2019,1,1
1월 2일,수,634 ,-6,0,0,1,0,2019,0,0
1월 3일,목,777 ,-5.6,0,0,1,0,2019,0,0
1월 4일,금,690 ,-3,0,5,1,0,2019,0,0
1월 5일,토,1601 ,-3.7,0,1.8,1,0,2019,1,1
1월 6일,일,2057 ,-4.4,0,2.8,1,0,2019,1,1
1월 7일,월,773 ,-3.8,0,3.8,1,0,2019,0,0
1월 8일,화,804 ,-3.9,0,0.4,1,0,2019,0,0
1월 9일,수,529 ,-5.6,0,5.9,1,0,2019,0,0
1월 10일,목,839 ,-1.3,0,7.3,1,0,2019,0,0
1월 11일,금,814 ,1.3,0,7.8,1,0,2019,0,0
1월 12일,토,1855 ,1,0,5,1,0,2019,1,1
1월 13일,일,1680 ,-1.1,0,0,1,0,2019,1,1
1월 14일,월,433 ,-0.7,0,6.1,1,0,2019,0,0
1월 15일,화,493 ,-1.7,0,3.5,1,0,2019,0,0
1월 16일,수,674 ,-5.2,0,4.6,1,0,2019,0,0
1월 17일,목,1220 ,-1.1,0,2.4,1,0,2019,0,0
1월 18일,금,810 ,-1.5,0,2.4,1,0,2019,0,0
1월 19일,토,1738 ,1.7,0,6.6,1,0,2019,1,1
1월 20일,일,2064 ,-1.1,0,1.1,1,0,2019,1,1
1월 21일,월,731 ,-1.8,0,3.8,1,0,2019,0,0
1월 22일,화,988 ,-0.1,0,1.3,1,0,2019,0,0
1월 23일,수,756 ,1.1,0,0.5,1,0,2019,0,0
1월 24일,목,1010 ,-1.8,0,0.9,1,0,2019,0,0
1월 25일,금,882 ,-1.9,0,2.1,1,0,2019,0,0
1월 26일,토,2023 ,-3.1,0,0,1,0,2019,1,1
1월 27일,일,2391 ,-1.5,0,4.1,1,0,2019,1,1
1월 28일,월,703 ,1.1,0,2.6,1,0,2019,0,0
1월 29일,화,938 ,-1.9,0,2.9,1,0,2019,0,0
1월 30일,수,716 ,0.7,0,6.3,1,0,2019,0,0
1월 31일,목,1624 ,-1.7,0,7,1,0,2019,0,0
2월 1일,금,626 ,-3,0,2.6,2,0,2019,0,0
2월 2일,토,1630 ,0.7,0,7.6,2,0,2019,1,1
2월 3일,일,405 ,3.1,0,8.9,2,21.5,2019,1,1
2월 4일,월,2550 ,-0.8,1,2.6,2,0,2019,1,1
2월 5일,화,3855 ,0.4,1,3.9,2,0,2019,1,1
2월 6일,수,4046 ,3.9,1,8.9,2,0,2019,1,1
2월 7일,목,996 ,-1.6,0,5,2,0,2019,0,0
2월 8일,금,771 ,-5.7,0,6.4,2,0,2019,0,0
2월 9일,토,1771 ,-5,0,4.8,2,0,2019,1,1
2월 10일,일,1652 ,-5.1,0,7.5,2,0,2019,1,1
2월 11일,월,732 ,-3.3,0,0,2,0,2019,0,0
2월 12일,화,1041 ,-0.7,0,5.6,2,0,2019,0,0
2월 13일,수,917 ,-2.6,0,2.9,2,0,2019,0,0
2월 14일,목,1290 ,-1.6,0,7.1,2,0,2019,0,0
2월 15일,금,587 ,-0.9,0,9,2,0.5,2019,0,0
2월 16일,토,1889 ,-2.1,0,3.8,2,0,2019,1,1
2월 17일,일,2834 ,-2.4,0,0.1,2,0,2019,1,1
2월 18일,월,1084 ,-0.2,0,7.3,2,0,2019,0,0
2월 19일,화,514 ,0.9,0,8.5,2,4,2019,0,0
2월 20일,수,832 ,1.3,0,6.3,2,0,2019,0,0
2월 21일,목,998 ,0.7,0,0.9,2,0,2019,0,0
2월 22일,금,1005 ,2,0,6.4,2,0,2019,0,0
2월 23일,토,4086 ,4.1,0,3.1,2,0,2019,1,1
2월 24일,일,7466 ,4.3,0,2.1,2,0,2019,1,1
2월 25일,월,1428 ,3.6,0,4.3,2,0,2019,0,0
2월 26일,화,2285 ,4.2,0,3.9,2,0,2019,0,0
2월 27일,수,2595 ,6.7,0,8,2,0,2019,0,0
2월 28일,목,2135 ,5,0,3.1,2,0,2019,0,0
3월 1일,금,6264 ,4.7,1,0.5,3,0,2019,1,1
3월 2일,토,5491 ,5.5,0,6,3,0,2019,1,1
3월 3일,일,4393 ,7.8,0,5.8,3,0,2019,1,1
3월 4일,월,822 ,8.7,0,3.3,3,0,2019,0,0
3월 5일,화,649 ,7.7,0,9.5,3,0,2019,0,0
3월 6일,수,513 ,6.9,0,6.4,3,0,2019,0,0
3월 7일,목,1196 ,5.9,0,1.3,3,0,2019,0,0
3월 8일,금,1622 ,4.1,0,0.6,3,0,2019,0,0
3월 9일,토,17833 ,5.6,0,6.5,3,0,2019,1,1
3월 10일,일,9254 ,8.9,0,7.3,3,0,2019,1,1
3월 11일,월,1025 ,5.5,0,6.4,3,0,2019,0,0
3월 12일,화,1326 ,4.1,0,5.6,3,0,2019,0,0
3월 13일,수,1064 ,3.7,0,0.6,3,0,2019,0,0
3월 14일,목,1351 ,4.5,0,4.8,3,0,2019,0,0
3월 15일,금,963 ,4.5,0,7,3,7,2019,0,0
3월 16일,토,8722 ,3.9,0,5.4,3,0,2019,1,1
3월 17일,일,15718 ,5,0,1.5,3,0,2019,1,1
3월 18일,월,1945 ,6,0,6.4,3,0,2019,0,0
3월 19일,화,2077 ,8.6,0,1.5,3,0,2019,0,0
3월 20일,수,759 ,9.2,0,9.1,3,19,2019,0,0
3월 21일,목,1144 ,7.7,0,6.5,3,5,2019,0,0
3월 22일,금,1477 ,3.7,0,1,3,0,2019,0,0
3월 23일,토,3562 ,3,0,2.3,3,2,2019,1,1
3월 24일,일,12787 ,3.8,0,0.4,3,0,2019,1,1
3월 25일,월,1538 ,7,0,4,3,0,2019,0,0
3월 26일,화,1744 ,10.9,0,2.9,3,0,2019,0,0
